material_id,pretty_formula,primitive_formula,spacegroup,CrystalSystem,anonymized_formula
mp-2334,DyCu,DyCu,221,Cubic,AB
mp-2226,DyPd,DyPd,221,Cubic,AB
mp-1121,GaCo,GaCo,221,Cubic,AB
mp-20132,InHg,InHg,166,Trigonal,AB
mp-2735,PaO,PaO,225,Cubic,AB
mp-1169,ScCu,ScCu,221,Cubic,AB
mp-30746,YIr,YIr,221,Cubic,AB
mp-13452,BePd2,BePd2,139,Tetragonal,AB2
mp-2209,CeGa2,CeGa2,191,Hexagonal,AB2
mp-11359,Ga2Cu,Ga2Cu,123,Tetragonal,AB2
mp-11390,LiGaSi,LiGaSi,216,Cubic,ABC
mp-1995,PrC2,PrC2,139,Tetragonal,AB2
mp-24658,SmH2,SmH2,225,Cubic,AB2
mp-30497,TbCd2,TbCd2,191,Hexagonal,AB2
mp-30501,Ti2Cd,Ti2Cd,139,Tetragonal,AB2
mp-30789,U2Mo,U2Mo,139,Tetragonal,AB2
mp-30725,YHg2,YHg2,191,Hexagonal,AB2
mp-20225,CePb3,CePb3,221,Cubic,AB3
mp-788,CoTe,Co2Te2,194,Hexagonal,AB
mp-1213726,CrFeCoSi,CrFeCoSi,216,Cubic,ABCD
mp-20176,DyPb3,DyPb3,221,Cubic,AB3
mp-4552,ErInCu2,ErInCu2,225,Cubic,ABC2
mp-8882,GaP,Ga2P2,186,Hexagonal,AB
mp-20730,HfCo2Sn,HfCo2Sn,225,Cubic,ABC2
mp-21211,InFeCo2,InFeCo2,225,Cubic,ABC2
mp-4326,KErS2,KErS2,166,Trigonal,ABC2
mp-13181,LaF3,LaF3,225,Cubic,AB3
mp-30591,Li2CuSn,Li2CuSn,216,Cubic,ABC2
mp-30648,LiMg2Ga,LiMg2Ga,225,Cubic,ABC2
mp-7554,LiMgSnAu,LiMgSnAu,216,Cubic,ABCD
mp-11806,LiMgSnPt,LiMgSnPt,216,Cubic,ABCD
mp-4972,LuInCu2,LuInCu2,225,Cubic,ABC2
